Date,Store,Who,Generic,Cost,Item,Monthly Generic Sort,Annual Generic Sort,Year,Month,Y/M
8-Dec,Costco,C,Wine,12.89,Petite Sarah,2023-12-Wine,2023-Wine,2023,12,2023-12
8-Dec,Costco,C,Wine,12.89,Petite Sarah,2023-12-Wine,2023-Wine,2023,12,2023-12
8-Dec,Costco,C,Wine,12.89,Petite Sarah,2023-12-Wine,2023-Wine,2023,12,2023-12
8-Dec,Costco,C,Wine,12.89,Petite Sarah,2023-12-Wine,2023-Wine,2023,12,2023-12
8-Dec,Costco,C,Wine,12.89,Petite Sarah,2023-12-Wine,2023-Wine,2023,12,2023-12
8-Dec,Costco,C,Wine,12.89,Petite Sarah,2023-12-Wine,2023-Wine,2023,12,2023-12
8-Dec,Costco,C,Wine,12.89,Petite Sarah,2023-12-Wine,2023-Wine,2023,12,2023-12
8-Dec,Costco,C,Wine,12.89,Petite Sarah,2023-12-Wine,2023-Wine,2023,12,2023-12
11-Dec,Hag,T,Beverages,8.49,Grapefruit Juice,2023-12-Beverages,2023-Beverages,2023,12,2023-12
11-Dec,Hag,T,Beverages,8.49,Grapefruit Juice,2023-12-Beverages,2023-Beverages,2023,12,2023-12
11-Dec,Hag,C,Beverages,8.49,Orange Juice,2023-12-Beverages,2023-Beverages,2023,12,2023-12
11-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
11-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
11-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
11-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
11-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
11-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
11-Dec,Hag,C,Dairy,5.99,Eggs,2023-12-Dairy,2023-Dairy,2023,12,2023-12
11-Dec,Hag,C,Dairy,4.79,Milk,2023-12-Dairy,2023-Dairy,2023,12,2023-12
11-Dec,Hag,C,Meat,11.04,Ham,2023-12-Meat,2023-Meat,2023,12,2023-12
11-Dec,Hag,C,Meat,10.35,Turkey,2023-12-Meat,2023-Meat,2023,12,2023-12
11-Dec,Hag,C,Meat,9.58,Turkey,2023-12-Meat,2023-Meat,2023,12,2023-12
11-Dec,Hag,T,Produce,6.99,Organic Girl Spinich,2023-12-Produce,2023-Produce,2023,12,2023-12
11-Dec,Hag,B,Produce,4.5,Potatoes,2023-12-Produce,2023-Produce,2023,12,2023-12
11-Dec,Hag,B,Produce,3.38,Green Onions,2023-12-Produce,2023-Produce,2023,12,2023-12
11-Dec,Hag,B,Produce,1.5,Avacado,2023-12-Produce,2023-Produce,2023,12,2023-12
11-Dec,Hag,B,Produce,1.5,Avacado,2023-12-Produce,2023-Produce,2023,12,2023-12
11-Dec,Hag,C,Snacks,9.99,Macaroni Salad,2023-12-Snacks,2023-Snacks,2023,12,2023-12
11-Dec,Hag,T,Snacks,7.99,Pumkin Seeds,2023-12-Snacks,2023-Snacks,2023,12,2023-12
11-Dec,Hag,T,Snacks,4.99,Sunflower Seeds,2023-12-Snacks,2023-Snacks,2023,12,2023-12
13-Dec,Fred Meyer,T,Canned Soup,3.5,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
13-Dec,Fred Meyer,T,Canned Soup,3.5,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
13-Dec,Fred Meyer,C,Groceries,6.49,All Bran,2023-12-Groceries,2023-Groceries,2023,12,2023-12
13-Dec,Fred Meyer,B,Produce,5.99,Corn,2023-12-Produce,2023-Produce,2023,12,2023-12
13-Dec,Fred Meyer,B,Produce,3,Red Bell Pepper,2023-12-Produce,2023-Produce,2023,12,2023-12
13-Dec,Fred Meyer,B,Produce,2.86,Broccoli,2023-12-Produce,2023-Produce,2023,12,2023-12
13-Dec,Fred Meyer,B,Produce,2.79,Carrots Bunch Org,2023-12-Produce,2023-Produce,2023,12,2023-12
13-Dec,Fred Meyer,B,Produce,1.34,Garlic,2023-12-Produce,2023-Produce,2023,12,2023-12
13-Dec,Fred Meyer,B,Produce,0.87,Red Onion,2023-12-Produce,2023-Produce,2023,12,2023-12
13-Dec,Target,T,Snacks,21.99,Cliff Bars,2023-12-Snacks,2023-Snacks,2023,12,2023-12
15-Dec,QFC,C,Dairy,2.99,Butter Milk,2023-12-Dairy,2023-Dairy,2023,12,2023-12
15-Dec,QFC,B,Groceries,3.99,Vegitable Oil,2023-12-Groceries,2023-Groceries,2023,12,2023-12
15-Dec,QFC,C,Meat,5.65,Chicken,2023-12-Meat,2023-Meat,2023,12,2023-12
17-Dec,Hag,T,Beverages,7.99,Grapefruit Juice,2023-12-Beverages,2023-Beverages,2023,12,2023-12
17-Dec,Hag,T,Beverages,7.99,Grapefruit Juice,2023-12-Beverages,2023-Beverages,2023,12,2023-12
17-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
17-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
17-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
17-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
17-Dec,Hag,C,Dairy,6.99,Butter,2023-12-Dairy,2023-Dairy,2023,12,2023-12
17-Dec,Hag,C,Dairy,6.99,Yogurt,2023-12-Dairy,2023-Dairy,2023,12,2023-12
17-Dec,Hag,C,Dairy,4.79,Milk,2023-12-Dairy,2023-Dairy,2023,12,2023-12
17-Dec,Hag,C,Groceries,4.58,Chicken Broth,2023-12-Groceries,2023-Groceries,2023,12,2023-12
17-Dec,Hag,C,Groceries,4.49,Indian Sauce,2023-12-Groceries,2023-Groceries,2023,12,2023-12
17-Dec,Hag,C,Groceries,4.49,Indian Sauce,2023-12-Groceries,2023-Groceries,2023,12,2023-12
17-Dec,Hag,C,Groceries,3.99,Flour Tortias,2023-12-Groceries,2023-Groceries,2023,12,2023-12
17-Dec,Hag,C,Produce,7.24,Tomatoes on the Vine,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,T,Produce,6.99,Organic Girl Spinich,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,B,Produce,4.57,Oranges,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,B,Produce,3.87,Asparagus,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,B,Produce,2.53,Broccoli,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,C,Produce,2.5,Spinach Bunch,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,B,Produce,2.06,Celery,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,C,Produce,1.5,Green Bell Pepper,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,B,Produce,1.25,Garlic,2023-12-Produce,2023-Produce,2023,12,2023-12
17-Dec,Hag,B,Produce,1.25,Garlic,2023-12-Produce,2023-Produce,2023,12,2023-12
20-Dec,Safeway,T,Beverages,6.49,Perier,2023-12-Beverages,2023-Beverages,2023,12,2023-12
20-Dec,Bay View,C,Meat,19.87,Crab Cakes,2023-12-Meat,2023-Meat,2023,12,2023-12
20-Dec,Bay View,C,Meat,7.24,Beef Cube Steak,2023-12-Meat,2023-Meat,2023,12,2023-12
20-Dec,Bay View,C,Meat,7.06,Chicken,2023-12-Meat,2023-Meat,2023,12,2023-12
22-Dec,Hag,T,Beverages,8.49,Grapefruit Juice,2023-12-Beverages,2023-Beverages,2023,12,2023-12
22-Dec,Hag,C,Beverages,8.49,Orange Juice,2023-12-Beverages,2023-Beverages,2023,12,2023-12
22-Dec,Safeway,T,Beverages,6.49,Perier,2023-12-Beverages,2023-Beverages,2023,12,2023-12
22-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,T,Canned Soup,3.99,Amys Lentil Kale,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,C,Canned Soup,3.49,Mushroom Soup,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,C,Canned Soup,3.49,Mushroom Soup,2023-12-Canned Soup,2023-Canned Soup,2023,12,2023-12
22-Dec,Hag,C,Dairy,5.79,Whipping Cream,2023-12-Dairy,2023-Dairy,2023,12,2023-12
22-Dec,Hag,C,Dairy,2.89,Milk,2023-12-Dairy,2023-Dairy,2023,12,2023-12
22-Dec,Hag,C,Groceries,9.99,Spice:  5-Spice,2023-12-Groceries,2023-Groceries,2023,12,2023-12
22-Dec,Hag,B,Groceries,7.49,Mustard,2023-12-Groceries,2023-Groceries,2023,12,2023-12
22-Dec,Hag,C,Groceries,6.19,Lentils,2023-12-Groceries,2023-Groceries,2023,12,2023-12
